"entity_name","entity_id","team_name","year","runner_runs","fielder_runs","runner_runs_advances","runner_runs_thrown_out","runner_runs_hold","fielder_runs_advances","fielder_runs_thrown_out","fielder_runs_hold","n_opp_xb","n_att_xb","rate_att_xb","est_rate_att_generic_runner","est_rate_att_generic_fielder","n_out","n_safe","rate_safe","rate_safe_per_attempt"
"McCarthy, Jake",664983,"COL",2026,2.395549391602913,-0.2520580201704131,4.927666645206625,-2.3026869492883284,-0.2294303043153836,-3.2708670703814895,2.387903907166944,0.6309051430441319,75,41,0.5466666666666665,0.3028210143199392,0.4231067350042446,3,38,0.5066666666666664,0.926829268292683
"Abrams, CJ",682928,"WSH",2026,0.5363230506986971,0.4873722387064951,3.0330617981536068,-0.8377701082351038,-1.658968639219805,-2.5193925823961827,0.8725872286396487,2.1341775924630295,99,40,0.404040404040404,0.3802458078559548,0.4233385588492876,1,39,0.39393939393939387,0.975
"Thomas, Lane",657041,"KC",2026,0.9714535263699888,-0.07400854656487335,2.2402093622241672,-0.9105637805848088,-0.3581920552693699,-1.692165710983317,0.9748593213759429,0.6432978430425008,62,30,0.4838709677419354,0.39343653744277296,0.4514317886919446,1,29,0.467741935483871,0.9666666666666667
"Mayer, Marcelo",691785,"BOS",2026,-0.19845526477011102,0.07744207995227197,0.5803479882928382,0,-0.7788032530629493,-0.5935847764061251,0,0.671026856358397,46,15,0.32608695652173925,0.38433437796600095,0.36966034101609285,0,15,0.32608695652173925,1
"Church, Nathan",701675,"STL",2026,0.4211744571081471,0.15176151519694514,1.5797716362842726,-0.7625825502797698,-0.39601462889635586,-1.2335640960889251,0.7786314345894929,0.6066941766963775,52,23,0.44230769230769235,0.3693314982618405,0.4143240461385479,1,22,0.42307692307692313,0.9565217391304348
"Crews, Dylan",686611,"WSH",2026,0.49654843823557004,0.020752771232186745,1.2052280454371964,0,-0.7086796072016264,-0.9870540238997794,0,1.0078067951319667,45,18,0.39999999999999997,0.3833313581272244,0.43840312556709665,0,18,0.39999999999999997,1
"Stewart, Sal",701398,"CIN",2026,-2.3626908040939556,1.7261255450802144,0.7825857371340725,-1.7402163290663826,-1.4050602121616456,-0.9568869687764904,1.7022043851022,0.9808081287545047,83,26,0.31325301204819284,0.36291761542770556,0.3282131427101952,2,24,0.28915662650602414,0.9230769230769231
"Johnston, Troy",687859,"COL",2026,0.2598518611554401,-1.5029127898663195,1.9034494127282708,-0.7582516827187632,-0.8853458688540674,-2.645411317668865,0.7527972429139532,0.3897012848885927,82,33,0.402439024390244,0.37837621456104803,0.3177779093282688,1,32,0.3902439024390245,0.9696969696969697
"Butler, Lawrence",671732,"ATH",2026,-0.5881647830776866,0.15382148867376433,1.3398128807015224,-0.7613230710240557,-1.166654592755154,-1.5243701293196663,0.7577700744314757,0.9204215435619549,55,23,0.41818181818181815,0.44230218318131187,0.4083660275648148,1,22,0.39999999999999997,0.9565217391304348
"Bell, Josh",605137,"MIN",2026,-2.486243122311484,1.1508413964251702,1.1605124378052591,-1.8772535291085286,-1.7695020310082166,-1.9266763665567415,1.8769803874477593,1.2005373755341522,89,28,0.3146067415730338,0.3755751316167923,0.31669511054878113,2,26,0.2921348314606741,0.9285714285714286
"Stott, Bryson",681082,"PHI",2026,2.463200299747785,-0.9493085329389058,3.3608386471909513,0,-0.8976383474431654,-2.4007029521915375,0,1.4513944192526318,91,34,0.3736263736263737,0.3035945666563905,0.37084537915763044,0,34,0.3736263736263737,1
"Grichuk, Randal",545341,"MLB",2026,1.0127301785901914,-0.9502075147112865,1.3886291491156935,0,-0.3758989705255014,-1.359302038322166,0,0.40909452361087906,36,14,0.38888888888888895,0.33259244950537475,0.3367907459529191,0,14,0.38888888888888895,1
"O'Hearn, Ryan",656811,"PIT",2026,-2.8833796678598875,2.657724796404708,0.6913790509135194,-0.9386267645542643,-2.6361319542191426,-0.703117248839225,0.9384901937238797,2.422351851520054,89,24,0.2696629213483147,0.38463702033848174,0.37440236395154075,1,23,0.2584269662921347,0.9583333333333334
"Harris II, Michael",671739,"ATL",2026,-1.3599588827873639,2.4264100195689338,1.5053225525100162,-1.6162612782993668,-1.249020156998013,-1.0934143328613963,1.7054156337626691,1.8144087186676612,88,25,0.28409090909090906,0.29672289386954787,0.35020215996549686,2,23,0.26136363636363635,0.92
"Wood, James",695578,"WSH",2026,0.25131101604111883,0.49402574854634584,2.846151676916887,-0.7595507995235179,-1.8352898613522504,-2.4269700400722116,0.7731239976488257,2.1478717909697314,118,43,0.36440677966101703,0.36803749743926617,0.39497960035483176,1,42,0.35593220338983056,0.9767441860465116
"Schanuel, Nolan",694384,"LAA",2026,-0.5559528303716784,-1.3537048545808876,2.3183483579696125,-0.8148028457225664,-2.059498342618725,-3.249021641969281,0.7873031572291461,1.108013630159247,101,31,0.30693069306930687,0.33849834020869024,0.2599433984497188,1,30,0.29702970297029707,0.967741935483871
"Call, Alex",669743,"LAD",2026,0.7969270970369479,-0.507042652171828,1.0255570666930014,0,-0.22862996965605353,-0.7582748245850357,0,0.25123217241320744,38,18,0.4736842105263159,0.4353291050354344,0.45640689870490875,0,18,0.4736842105263159,1
